satz_id;variante_H2O;wiederholung;datum_bewaesserung;bewaesserung_mm
2;Wred;b;2020-08-05;4.8
2;Wred;c;2020-08-05;5
2;Wred;d;2020-08-05;5.1
2;Wfull;a;2020-08-07;9.3
2;Wfull;b;2020-08-07;9.5
2;Wfull;c;2020-08-07;9.6
2;Wfull;d;2020-08-07;9.7
2;Wred;a;2020-08-07;9.6
2;Wred;b;2020-08-07;9.3
2;Wred;c;2020-08-07;9.5
2;Wred;d;2020-08-07;9.7
2;Wfull;a;2020-08-11;9
2;Wfull;b;2020-08-11;9.2
2;Wfull;c;2020-08-11;9.3
2;Wfull;d;2020-08-11;9.3
2;Wred;a;2020-08-11;9.3
2;Wred;b;2020-08-11;9
2;Wred;c;2020-08-11;8.8
2;Wred;d;2020-08-11;9.4
2;Wfull;a;2020-08-18;9.4
2;Wfull;b;2020-08-18;9.3
2;Wfull;c;2020-08-18;9.7
2;Wfull;d;2020-08-18;9.3
2;Wfull;a;2020-08-24;19.2
2;Wfull;b;2020-08-24;18.6
2;Wfull;c;2020-08-24;19.4
2;Wfull;d;2020-08-24;18.3
2;Wfull;a;2020-08-29;19.4
2;Wfull;b;2020-08-29;18.2
2;Wfull;c;2020-08-29;19.5
2;Wfull;d;2020-08-29;18.1
2;Wfull;a;2020-09-08;18.8
2;Wfull;b;2020-09-08;18.1
2;Wfull;c;2020-09-08;19.7
2;Wfull;d;2020-09-08;17.6
3;Wfull_plus;a;2021-04-19;0.72
3;Wfull_plus;b;2021-04-19;0.67
3;Wfull_plus;c;2021-04-19;0.74
3;Wfull_plus;d;2021-04-19;0.65
3;Wfull;a;2021-04-19;0.76
3;Wfull;b;2021-04-19;0.69
3;Wfull;c;2021-04-19;0.7
3;Wfull;d;2021-04-19;0.63
3;Wred;a;2021-04-19;0.7
3;Wred;b;2021-04-19;0.67
3;Wred;c;2021-04-19;0.7
3;Wred;d;2021-04-19;0.69
3;Wfull_plus;a;2021-04-20;5.01
3;Wfull_plus;b;2021-04-20;4.72
3;Wfull_plus;c;2021-04-20;5.01
3;Wfull_plus;d;2021-04-20;4.7
3;Wfull;a;2021-04-20;5.3
3;Wfull;b;2021-04-20;4.8
3;Wfull;c;2021-04-20;4.69
3;Wfull;d;2021-04-20;4.69
3;Wred;a;2021-04-20;4.93
3;Wred;b;2021-04-20;4.72
3;Wred;c;2021-04-20;4.69
3;Wred;d;2021-04-20;5.01
3;Wfull_plus;a;2021-04-23;4.44
3;Wfull_plus;b;2021-04-23;4.36
3;Wfull_plus;c;2021-04-23;4.65
3;Wfull_plus;d;2021-04-23;4.36
3;Wfull;a;2021-04-23;4.65
3;Wfull;b;2021-04-23;4.44
3;Wfull;c;2021-04-23;4.36
3;Wfull;d;2021-04-23;4.36
3;Wred;a;2021-04-23;4.34
3;Wred;b;2021-04-23;4.36
3;Wred;c;2021-04-23;4.36
3;Wred;d;2021-04-23;4.65
3;Wfull_plus;a;2021-04-26;5.43
3;Wfull_plus;b;2021-04-26;5.28
3;Wfull_plus;c;2021-04-26;5.66
3;Wfull_plus;d;2021-04-26;5.28
3;Wfull;a;2021-04-26;5.64
3;Wfull;b;2021-04-26;5.45
3;Wfull;c;2021-04-26;5.3
3;Wfull;d;2021-04-26;5.28
3;Wred;a;2021-04-26;5.28
3;Wred;b;2021-04-26;5.28
3;Wred;c;2021-04-26;5.3
3;Wred;d;2021-04-26;5.64
3;Wfull_plus;a;2021-04-27;13.18
3;Wfull_plus;b;2021-04-27;12.93
3;Wfull_plus;c;2021-04-27;13.37
3;Wfull_plus;d;2021-04-27;12.63
3;Wfull_plus;a;2021-05-04;5.56
3;Wfull_plus;b;2021-05-04;5.31
3;Wfull_plus;c;2021-05-04;5.68
3;Wfull_plus;d;2021-05-04;5.33
3;Wfull;a;2021-05-04;5.7
3;Wfull;b;2021-05-04;5.52
3;Wfull;c;2021-05-04;5.33
3;Wfull;d;2021-05-04;5.33
3;Wred;a;2021-05-04;5.35
3;Wred;b;2021-05-04;5.33
3;Wred;c;2021-05-04;5.33
3;Wred;d;2021-05-04;5.68
3;Wfull_plus;a;2021-05-15;13.81
3;Wfull_plus;b;2021-05-15;13.33
3;Wfull_plus;c;2021-05-15;13.68
3;Wfull_plus;d;2021-05-15;13.03
3;Wfull_plus;a;2021-05-25;23.31
3;Wfull_plus;b;2021-05-25;22.53
3;Wfull_plus;c;2021-05-25;23.1
3;Wfull_plus;d;2021-05-25;22.11
4;Wfull_plus;a;2021-06-14;0.34
4;Wfull_plus;b;2021-06-14;0.3
4;Wfull_plus;c;2021-06-14;0.34
4;Wfull_plus;d;2021-06-14;0.3
4;Wfull;a;2021-06-14;0.32
4;Wfull;b;2021-06-14;0.32
4;Wfull;c;2021-06-14;0.34
4;Wfull;d;2021-06-14;0.3
4;Wred;a;2021-06-14;0.34
4;Wred;b;2021-06-14;0.3
4;Wred;c;2021-06-14;0.32
4;Wred;d;2021-06-14;0.32
4;Wfull_plus;a;2021-06-15;11.12
4;Wfull_plus;b;2021-06-15;10.65
4;Wfull_plus;c;2021-06-15;11.07
4;Wfull_plus;d;2021-06-15;10.67
4;Wfull;a;2021-06-15;10.67
4;Wfull;b;2021-06-15;11.07
4;Wfull;c;2021-06-15;11.09
4;Wfull;d;2021-06-15;10.63
4;Wred;a;2021-06-15;11.07
4;Wred;b;2021-06-15;10.69
4;Wred;c;2021-06-15;10.61
4;Wred;d;2021-06-15;11.1
4;Wfull_plus;a;2021-06-17;11.24
4;Wfull_plus;b;2021-06-17;10.78
4;Wfull_plus;c;2021-06-17;11.12
4;Wfull_plus;d;2021-06-17;10.86
4;Wfull;a;2021-06-17;10.82
4;Wfull;b;2021-06-17;11.16
4;Wfull;c;2021-06-17;11.24
4;Wfull;d;2021-06-17;10.76
4;Wred;a;2021-06-17;11.1
4;Wred;b;2021-06-17;10.88
4;Wred;c;2021-06-17;10.74
4;Wred;d;2021-06-17;11.26
4;Wfull_plus;a;2021-06-19;11.22
4;Wfull_plus;b;2021-06-19;10.72
4;Wfull_plus;c;2021-06-19;11.14
4;Wfull_plus;d;2021-06-19;10.97
4;Wfull;a;2021-06-19;10.93
4;Wfull;b;2021-06-19;11.1
4;Wfull;c;2021-06-19;11.22
4;Wfull;d;2021-06-19;10.72
4;Wred;a;2021-06-19;11.1
4;Wred;b;2021-06-19;10.93
4;Wred;c;2021-06-19;10.72
4;Wred;d;2021-06-19;11.22
4;Wfull_plus;a;2021-06-22;11.18
4;Wfull_plus;b;2021-06-22;10.67
4;Wfull_plus;c;2021-06-22;11.09
4;Wfull_plus;d;2021-06-22;10.84
4;Wfull;a;2021-06-22;10.82
4;Wfull;b;2021-06-22;11.09
4;Wfull;c;2021-06-22;11.2
4;Wfull;d;2021-06-22;10.78
4;Wred;a;2021-06-22;11.07
4;Wred;b;2021-06-22;10.82
4;Wred;c;2021-06-22;10.76
4;Wred;d;2021-06-22;11.22
4;Wfull_plus;a;2021-07-03;10.17
4;Wfull_plus;b;2021-07-03;9.77
4;Wfull_plus;c;2021-07-03;10.11
4;Wfull_plus;d;2021-07-03;9.92
4;Wfull_plus;a;2021-07-20;29.6
4;Wfull_plus;b;2021-07-20;28.95
4;Wfull_plus;c;2021-07-20;29.28
4;Wfull_plus;d;2021-07-20;28.99
4;Wfull;a;2021-07-20;4.42
4;Wfull;b;2021-07-20;4.8
4;Wfull;c;2021-07-20;4.74
4;Wfull;d;2021-07-20;4.53
4;Wred;a;2021-07-20;4.65
4;Wred;b;2021-07-20;4.44
4;Wred;c;2021-07-20;4.69
4;Wred;d;2021-07-20;4.74
4;Wfull;a;2021-07-22;27.9
4;Wfull;b;2021-07-22;27.68
4;Wfull;c;2021-07-22;28.08
4;Wfull;d;2021-07-22;27.9
4;Wfull_plus;a;2021-07-24;30.46
4;Wfull_plus;b;2021-07-24;30.42
4;Wfull_plus;c;2021-07-24;30.3
4;Wfull_plus;d;2021-07-24;30.67
5;Wfull_plus;a;2021-07-27;0.29
5;Wfull_plus;b;2021-07-27;0.29
5;Wfull_plus;c;2021-07-27;0.29
5;Wfull_plus;d;2021-07-27;0.29
5;Wfull;a;2021-07-27;0.29
5;Wfull;b;2021-07-27;0.29
5;Wfull;c;2021-07-27;0.29
5;Wfull;d;2021-07-27;0.27
5;Wred;a;2021-07-27;0.29
5;Wred;b;2021-07-27;0.3
5;Wred;c;2021-07-27;0.29
5;Wred;d;2021-07-27;0.29
5;Wfull_plus;a;2021-07-28;8.48
5;Wfull_plus;b;2021-07-28;8.53
5;Wfull_plus;c;2021-07-28;8.67
5;Wfull_plus;d;2021-07-28;8.76
5;Wfull;a;2021-07-28;8.63
5;Wfull;b;2021-07-28;8.51
5;Wfull;c;2021-07-28;8.76
5;Wfull;d;2021-07-28;8.51
5;Wred;a;2021-07-28;8.48
5;Wred;b;2021-07-28;8.76
5;Wred;c;2021-07-28;8.53
5;Wred;d;2021-07-28;8.65
5;Wfull_plus;a;2021-07-30;4.72
5;Wfull_plus;b;2021-07-30;4.97
5;Wfull_plus;c;2021-07-30;4.86
5;Wfull_plus;d;2021-07-30;4.86
5;Wfull;a;2021-07-30;4.88
5;Wfull;b;2021-07-30;4.72
5;Wfull;c;2021-07-30;4.84
5;Wfull;d;2021-07-30;4.95
5;Wred;a;2021-07-30;4.97
5;Wred;b;2021-07-30;4.88
5;Wred;c;2021-07-30;4.69
5;Wred;d;2021-07-30;4.86
5;Wfull_plus;a;2021-08-01;4.7
5;Wfull_plus;b;2021-08-01;5.01
5;Wfull_plus;c;2021-08-01;4.88
5;Wfull_plus;d;2021-08-01;4.88
5;Wfull;a;2021-08-01;4.88
5;Wfull;b;2021-08-01;4.72
5;Wfull;c;2021-08-01;4.88
5;Wfull;d;2021-08-01;4.99
5;Wred;a;2021-08-01;4.99
5;Wred;b;2021-08-01;4.88
5;Wred;c;2021-08-01;4.72
5;Wred;d;2021-08-01;4.88
5;Wfull_plus;a;2021-08-11;11.96
5;Wfull_plus;b;2021-08-11;12.38
5;Wfull_plus;c;2021-08-11;12.06
5;Wfull_plus;d;2021-08-11;11.81
5;Wfull_plus;a;2021-08-14;9.18
5;Wfull_plus;b;2021-08-14;9.33
5;Wfull_plus;c;2021-08-14;9.24
5;Wfull_plus;d;2021-08-14;8.99
5;Wfull;a;2021-08-14;9.31
5;Wfull;b;2021-08-14;8.99
5;Wfull;c;2021-08-14;8.84
5;Wfull;d;2021-08-14;9.43
5;Wfull_plus;a;2021-08-17;4.51
5;Wfull_plus;b;2021-08-17;4.67
5;Wfull_plus;c;2021-08-17;4.67
5;Wfull_plus;d;2021-08-17;4.42
5;Wfull;a;2021-08-17;4.67
5;Wfull;b;2021-08-17;4.51
5;Wfull;c;2021-08-17;4.42
5;Wfull;d;2021-08-17;4.67
5;Wred;a;2021-08-17;4.69
5;Wred;b;2021-08-17;4.4
5;Wred;c;2021-08-17;4.53
5;Wred;d;2021-08-17;4.65
5;Wfull_plus;a;2021-08-21;20.9
5;Wfull_plus;b;2021-08-21;21.71
5;Wfull_plus;c;2021-08-21;21.16
5;Wfull_plus;d;2021-08-21;20.72
5;Wfull_plus;a;2021-08-24;4.84
5;Wfull_plus;b;2021-08-24;4.97
5;Wfull_plus;c;2021-08-24;4.99
5;Wfull_plus;d;2021-08-24;4.84
5;Wfull;a;2021-08-24;5.01
5;Wfull;b;2021-08-24;4.84
5;Wfull;c;2021-08-24;4.86
5;Wfull;d;2021-08-24;4.95
5;Wred;a;2021-08-24;4.99
5;Wred;b;2021-08-24;4.86
5;Wred;c;2021-08-24;4.84
5;Wred;d;2021-08-24;4.97
5;Wfull_plus;a;2021-08-31;21.33
5;Wfull_plus;b;2021-08-31;21.56
5;Wfull_plus;c;2021-08-31;21.5
5;Wfull_plus;d;2021-08-31;21.26
5;Wfull;a;2021-08-31;21.64
5;Wfull;b;2021-08-31;21.07
5;Wfull;c;2021-08-31;20.88
5;Wfull;d;2021-08-31;21.75
5;Wfull_plus;a;2021-09-06;22.55
5;Wfull_plus;b;2021-09-06;23.07
5;Wfull_plus;c;2021-09-06;23.87
5;Wfull_plus;d;2021-09-06;21.77
5;Wfull;a;2021-09-06;23.64
5;Wfull;b;2021-09-06;22.74
5;Wfull;c;2021-09-06;21.83
5;Wfull;d;2021-09-06;23.12
5;Wred;a;2021-09-06;22.91
5;Wred;b;2021-09-06;21.92
5;Wred;c;2021-09-06;22.86
5;Wred;d;2021-09-06;23.81
